#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon Apr 10 12:40:06 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       nPC_map.ncd
#OUTPUT FILE:      nPC_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P17,Din<25>,IBUF,IO_L06P_3/LHCLK6,INPUT,LVCMOS25*,3,,,,IFD,,UNLOCATED,YES,NONE,
P18,Din<16>,IBUF,IO_L06N_3/LHCLK7,INPUT,LVCMOS25*,3,,,,IFD,,UNLOCATED,YES,NONE,
P19,,,GND,,,,,,,,,,,,
P20,,,VCCO_3,,,3,,,,,2.50,,,,
P21,,,VCCAUX,,,,,,,,2.5,,,,
P22,Din<28>,IBUF,IO_L07P_3,INPUT,LVCMOS25*,3,,,,IFD,,UNLOCATED,YES,NONE,
P23,Din<12>,IBUF,IO_L07N_3,INPUT,LVCMOS25*,3,,,,IFD,,UNLOCATED,YES,NONE,
P24,Dout<20>,IOB,IO_L01P_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P25,Dout<1>,IOB,IO_L01N_2/INIT_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P26,Din<1>,IBUF,IO_L02P_2/DOUT/BUSY,INPUT,LVCMOS25*,2,,,,IFD,,UNLOCATED,YES,NONE,
P27,Dout<30>,IOB,IO_L02N_2/MOSI/CSI_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,,,GND,,,,,,,,,,,,
P30,Din<7>,IBUF,IP/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P31,,,VCCO_2,,,2,,,,,2.50,,,,
P32,Dout<16>,IOB,IO_L03P_2/D7/GCLK12,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P33,Din<4>,IBUF,IO_L03N_2/D6/GCLK13,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P34,Dout<28>,IOB,IO/D5,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P35,Dout<12>,IOB,IO_L04P_2/D4/GCLK14,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P36,Dout<9>,IOB,IO_L04N_2/D3/GCLK15,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P37,,,GND,,,,,,,,,,,,
P38,Din<8>,IBUF,IP_L05P_2/RDWR_B/GCLK0,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P39,Din<19>,IBUF,IP_L05N_2/M2/GCLK1,INPUT,LVCMOS25*,2,,,,IFD,,UNLOCATED,YES,NONE,
P40,Dout<18>,IOB,IO_L06P_2/D2/GCLK2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P41,Din<27>,IBUF,IO_L06N_2/D1/GCLK3,INPUT,LVCMOS25*,2,,,,IFD,,UNLOCATED,YES,NONE,
P42,Dout<19>,IOB,IO/M1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P43,Dout<27>,IOB,IO_L07P_2/M0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P44,Din<5>,IBUF,IO_L07N_2/DIN/D0,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P45,,,VCCO_2,,,2,,,,,2.50,,,,
P46,,,VCCAUX,,,,,,,,2.5,,,,
P47,Din<18>,IBUF,IO_L08P_2/VS2,INPUT,LVCMOS25*,2,,,,IFD,,UNLOCATED,YES,NONE,
P48,Dout<24>,IOB,IO_L08N_2/VS1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P49,Dout<3>,IOB,IO_L09P_2/VS0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P50,Din<3>,IBUF,IO_L09N_2/CCLK,INPUT,LVCMOS25*,2,,,,IFD,,UNLOCATED,YES,NONE,
P51,,,DONE,,,,,,,,,,,,
P52,,,GND,,,,,,,,,,,,
P53,Din<24>,IBUF,IO_L01P_1,INPUT,LVCMOS25*,1,,,,IFD,,UNLOCATED,YES,NONE,
P54,Dout<14>,IOB,IO_L01N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P55,,,VCCO_1,,,1,,,,,2.50,,,,
P56,,,VCCINT,,,,,,,,1.2,,,,
P57,Dout<25>,IOB,IO_L02P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P58,Dout<22>,IOB,IO_L02N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P59,,,GND,,,,,,,,,,,,
P60,Dout<11>,IOB,IO_L03P_1/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P61,Dout<10>,IOB,IO_L03N_1/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P62,Dout<13>,IOB,IO_L04P_1/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P63,Dout<23>,IOB,IO_L04N_1/RHCLK3/TRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P64,,,GND,,,,,,,,,,,,
P65,Dout<17>,IOB,IO_L05P_1/RHCLK4/IRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P66,Din<17>,IBUF,IO_L05N_1/RHCLK5,INPUT,LVCMOS25*,1,,,,IFD,,UNLOCATED,YES,NONE,
P67,Dout<15>,IOB,IO_L06P_1/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P68,Din<15>,IBUF,IO_L06N_1/RHCLK7,INPUT,LVCMOS25*,1,,,,IFD,,UNLOCATED,YES,NONE,
P69,Din<23>,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,IFD,,UNLOCATED,YES,NONE,
P70,Dout<0>,IOB,IO_L07P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P71,Din<0>,IBUF,IO_L07N_1,INPUT,LVCMOS25*,1,,,,IFD,,UNLOCATED,YES,NONE,
P72,,,GND,,,,,,,,,,,,
P73,,,VCCO_1,,,1,,,,,2.50,,,,
P74,,,VCCAUX,,,,,,,,2.5,,,,
P75,,,TMS,,,,,,,,,,,,
P76,,,TDO,,,,,,,,,,,,
P77,,,TCK,,,,,,,,,,,,
P78,Din<22>,IBUF,IO_L01P_0,INPUT,LVCMOS25*,0,,,,IFD,,UNLOCATED,YES,NONE,
P79,Din<14>,IBUF,IO_L01N_0,INPUT,LVCMOS25*,0,,,,IFD,,UNLOCATED,YES,NONE,
P80,,,VCCINT,,,,,,,,1.2,,,,
P81,,,GND,,,,,,,,,,,,
P82,,,VCCO_0,,,0,,,,,2.50,,,,
P83,Din<29>,IBUF,IO_L02P_0/GCLK4,INPUT,LVCMOS25*,0,,,,IFD,,UNLOCATED,YES,NONE,
P84,Dout<29>,IOB,IO_L02N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P85,Din<10>,IBUF,IO_L03P_0/GCLK6,INPUT,LVCMOS25*,0,,,,IFD,,UNLOCATED,YES,NONE,
P86,Din<11>,IBUF,IO_L03N_0/GCLK7,INPUT,LVCMOS25*,0,,,,IFD,,UNLOCATED,YES,NONE,
P87,,,GND,,,,,,,,,,,,
P88,Din<9>,IBUF,IP_L04P_0/GCLK8,INPUT,LVCMOS25*,0,,,,IFD,,UNLOCATED,YES,NONE,
P89,clk,IBUF,IP_L04N_0/GCLK9,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P90,Din<31>,IBUF,IO_L05P_0/GCLK10,INPUT,LVCMOS25*,0,,,,IFD,,UNLOCATED,YES,NONE,
P91,Dout<31>,IOB,IO_L05N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P92,Dout<4>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P93,,,GND,,,,,,,,,,,,
P94,Dout<8>,IOB,IO_L06P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P95,Dout<7>,IOB,IO_L06N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P96,,,VCCAUX,,,,,,,,2.5,,,,
P97,,,VCCO_0,,,0,,,,,2.50,,,,
P98,Din<21>,IBUF,IO_L07P_0,INPUT,LVCMOS25*,0,,,,IFD,,UNLOCATED,YES,NONE,
P99,Dout<21>,IOB,IO_L07N_0/HSWAP,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P100,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
